job_id,job_role,job_description,skills
1,DevOps Engineer,"We are looking for a DevOps Engineer with experience in Scrum, NoSQL, Computer Vision, C++. The candidate will be responsible for designing, developing, and deploying applications.","Scrum, NoSQL, Computer Vision, C++"
2,Backend Developer,"We are looking for a Backend Developer with experience in Angular, GCP, Scrum, Agile, Flask, TensorFlow. The candidate will be responsible for designing, developing, and deploying applications.","Angular, GCP, Scrum, Agile, Flask, TensorFlow"
3,Backend Developer,"We are looking for a Backend Developer with experience in Computer Vision, Agile, SQL, Angular. The candidate will be responsible for designing, developing, and deploying applications.","Computer Vision, Agile, SQL, Angular"
4,Cloud Architect,"We are looking for a Cloud Architect with experience in Kubernetes, Hadoop, PyTorch, GCP. The candidate will be responsible for designing, developing, and deploying applications.","Kubernetes, Hadoop, PyTorch, GCP"
5,AI Researcher,"We are looking for a AI Researcher with experience in PyTorch, GCP, Spark, React, C++. The candidate will be responsible for designing, developing, and deploying applications.","PyTorch, GCP, Spark, React, C++"
6,Web Developer,"We are looking for a Web Developer with experience in Docker, React, Java, NoSQL, NLP. The candidate will be responsible for designing, developing, and deploying applications.","Docker, React, Java, NoSQL, NLP"
7,Data Scientist,"We are looking for a Data Scientist with experience in C++, Spark, GCP, NumPy, TensorFlow. The candidate will be responsible for designing, developing, and deploying applications.","C++, Spark, GCP, NumPy, TensorFlow"
8,ML Engineer,"We are looking for a ML Engineer with experience in Django, NumPy, Kubernetes, Scrum, Java, Python. The candidate will be responsible for designing, developing, and deploying applications.","Django, NumPy, Kubernetes, Scrum, Java, Python"
9,Software Engineer,"We are looking for a Software Engineer with experience in Agile, NLP, Kubernetes, GCP, Scrum. The candidate will be responsible for designing, developing, and deploying applications.","Agile, NLP, Kubernetes, GCP, Scrum"
10,Data Analyst,"We are looking for a Data Analyst with experience in Computer Vision, PyTorch, C++, NLP, Scrum. The candidate will be responsible for designing, developing, and deploying applications.","Computer Vision, PyTorch, C++, NLP, Scrum"
